Age,Nutrients,Animal,TissueFullName,Location,Tissue,Exp,Animal ID,a1,a2,t1,t2,tm,i,x2
3,WT,1,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal1 AL Day3,0.696686305,0.303313695,0.5699655,2.821689,1.259576713,4330.295106,0.9583875
3,WT,1,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal1 AL Day3,0.717631025,0.282368975,0.508739,2.9675645,1.182594556,9468.911863,1.101637
3,WT,1,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal1 AL Day3,0.705164436,0.294835564,0.611208,2.968357,1.288156951,5367.336626,0.9115965
3,WT,1,Cranial Hypodermis,Cranial,Hypodermis,CMFLIM10,CMFLIM10 Animal1 AL Day3,0.639144999,0.360855002,0.576644,3.0094745,1.444142734,11905.55954,0.9335165
3,WT,1,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal1 AL Day3,0.644150719,0.355849281,0.706922,3.027546,1.558711145,5357.533153,0.7858195
3,WT,1,PM,NA,PM,CMFLIM10,CMFLIM10 Animal1 AL Day3,0.649677436,0.350322565,0.672526,2.819964,1.438632252,9596.745471,0.93064
5,WT,1,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal1 AL Day5,0.735922463,0.264077538,0.5196865,2.7074605,1.121238138,10460.19827,0.967257
5,WT,1,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal1 AL Day5,0.708139573,0.291860428,0.5185775,2.9759225,1.259939465,10671.93401,0.840662
5,WT,1,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal1 AL Day5,0.785304521,0.21469548,0.4847255,2.738635,0.963877705,7082.5941,1.268699
5,WT,1,Cranial Hypodermis,Cranial,Hypodermis,CMFLIM10,CMFLIM10 Animal1 AL Day5,0.668263246,0.331736754,0.53498,3.0469205,1.377409526,5183.117399,0.991318
5,WT,1,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal1 AL Day5,0.634268417,0.365731584,0.6598535,2.678139,1.416537723,8662.10512,0.8705285
5,WT,1,PM,NA,PM,CMFLIM10,CMFLIM10 Animal1 AL Day5,0.731319073,0.268680927,0.5973535,2.7410115,1.148044249,9668.472793,1.05388
7,WT,1,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal1 AL Day7,0.759279192,0.240720808,0.5416485,2.697497,1.072900636,9026.722372,0.888256
7,WT,1,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal1 AL Day7,0.798386849,0.201613152,0.475951,2.4584085,0.889136911,3211.867174,1.197064
7,WT,1,Cranial Hypodermis,Cranial,Hypodermis,CMFLIM10,CMFLIM10 Animal1 AL Day7,0.710860686,0.289139314,0.5171525,2.7233605,1.162007188,3426.924214,1.0352965
7,WT,1,PM,NA,PM,CMFLIM10,CMFLIM10 Animal1 AL Day7,0.740183568,0.259816432,0.5213955,2.431595,1.025163626,3058.541421,1.052237
9,WT,1,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal1 AL Day9,0.721497308,0.278502693,0.5207625,2.3872515,1.027960612,7314.707671,1.1205545
9,WT,1,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal1 AL Day9,0.782774156,0.217225844,0.502833,2.844323,1.009302432,8599.644532,0.90401
9,WT,1,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal1 AL Day9,0.695497916,0.304502084,0.6471865,2.836505,1.319963959,8768.58507,0.9554705
9,WT,1,Cranial Hypodermis,Cranial,Hypodermis,CMFLIM10,CMFLIM10 Animal1 AL Day9,0.795841437,0.204158563,0.4645735,2.739584,0.945777459,8523.110813,0.9106465
9,WT,1,PM,NA,PM,CMFLIM10,CMFLIM10 Animal1 AL Day9,0.676392111,0.323607889,0.6247495,2.930606,1.374340346,8389.816287,0.7602295
1,WT,10,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal10 AL Day1,0.736657157,0.263342844,0.5873625,2.882848,1.190394026,5287.224792,0.7318525
1,WT,10,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal10 AL Day1,0.64949106,0.35050894,0.573004,2.9252115,1.350948895,10388.02461,0.847012
1,WT,10,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal10 AL Day1,0.734940126,0.265059874,0.5573005,2.8269815,1.134518806,6470.655806,0.952423
1,WT,10,Cranial Hypodermis,Cranial,Hypodermis,CMFLIM10,CMFLIM10 Animal10 AL Day1,0.689437297,0.310562703,0.600608,3.093144,1.373979438,6951.714943,0.9677985
1,WT,10,PM,NA,PM,CMFLIM10,CMFLIM10 Animal10 AL Day1,0.728957913,0.271042088,0.566608,2.671924,1.148103861,9090.004406,1.3531475
5,WT,10,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal10 AL Day5,0.751571639,0.248428361,0.5334725,2.683223,1.046085246,8683.379351,0.947264
5,WT,10,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal10 AL Day5,0.717651049,0.282348952,0.575088,3.1421675,1.290257932,11106.76975,1.0724195
5,WT,10,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal10 AL Day5,0.775744738,0.224255263,0.557596,2.703443,1.025368302,6692.024037,1.452381
5,WT,10,Cranial Hypodermis,Cranial,Hypodermis,CMFLIM10,CMFLIM10 Animal10 AL Day5,0.692118993,0.307881008,0.5499415,2.9336975,1.276509573,5380.159238,1.053725
5,WT,10,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal10 AL Day5,0.706158465,0.293841535,0.5731395,2.978984,1.260438803,4325.578232,0.870796
5,WT,10,PM,NA,PM,CMFLIM10,CMFLIM10 Animal10 AL Day5,0.746562465,0.253437535,0.5605505,2.5316595,1.046061947,8428.866332,1.3788665
9,WT,10,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal10 AL Day9,0.727142143,0.272857858,0.549894,3.2035705,1.266168955,4355.361599,1.072019
9,WT,11,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal11 AL Day9,0.494680161,0.505319839,0.677447,4.847652,2.816907621,12070.94709,0.776985
9,WT,11,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal11 AL Day9,0.74254092,0.257459081,0.6040705,2.958977,1.212278278,3304.079212,0.9025305
9,WT,11,Cranial Hypodermis,Cranial,Hypodermis,CMFLIM10,CMFLIM10 Animal11 AL Day9,0.600220808,0.399779193,0.7634375,3.5755045,1.879345294,6995.735987,0.8986835
9,WT,11,PM,NA,PM,CMFLIM10,CMFLIM10 Animal11 AL Day9,0.515229122,0.484770878,0.573247,3.652812,2.098391983,9415.264024,0.852999
11,WT,2,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal2 AL Day11,0.66320401,0.336795991,0.5965265,3.263213,1.508540306,4230.563199,0.80953
11,WT,2,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal2 AL Day11,0.662044956,0.337955044,0.522789,2.9761215,1.355011592,5817.285316,0.9370345
11,WT,2,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal2 AL Day11,0.669922876,0.330077124,0.6016945,2.97724,1.364307053,4041.428694,0.844964
11,WT,2,PM,NA,PM,CMFLIM10,CMFLIM10 Animal2 AL Day11,0.685340747,0.314659253,0.6411325,3.091285,1.387599316,3096.878762,0.827496
1,WT,2,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal2 AL Day1,0.762873386,0.237126614,0.590197,2.9297765,1.133115887,4669.586015,0.94816
1,WT,2,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal2 AL Day1,0.673085548,0.326914453,0.5373465,3.1085,1.375659688,8789.552668,0.8245415
1,WT,2,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal2 AL Day1,0.788781588,0.211218412,0.613105,3.250819,1.185476431,5806.968243,1.2603605
1,WT,2,Cranial Hypodermis,Cranial,Hypodermis,CMFLIM10,CMFLIM10 Animal2 AL Day1,0.611951215,0.388048785,0.515932,3.058495,1.502388052,5957.543497,0.886778
1,WT,2,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal2 AL Day1,0.729090882,0.270909118,0.551974,2.906614,1.219172942,4772.222545,0.8502705
1,WT,2,PM,NA,PM,CMFLIM10,CMFLIM10 Animal2 AL Day1,0.687269191,0.312730809,0.6143785,2.6904755,1.260998719,6476.975734,0.9815285
3,WT,2,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal2 AL Day3,0.743190695,0.256809306,0.58022,2.9174795,1.176872101,4554.125568,1.0459625
3,WT,2,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal2 AL Day3,0.665695563,0.334304437,0.583197,2.988028,1.370241766,9413.245098,0.9594575
3,WT,2,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal2 AL Day3,0.767233469,0.232766532,0.5463865,2.829617,1.085526873,5556.154065,1.0681545
3,WT,2,Cranial Hypodermis,Cranial,Hypodermis,CMFLIM10,CMFLIM10 Animal2 AL Day3,0.645004185,0.354995815,0.5555485,3.1097375,1.503778467,6212.836277,1.14041
3,WT,2,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal2 AL Day3,0.757686681,0.24231332,0.60697,2.8727715,1.133703324,5414.536337,0.786603
3,WT,2,PM,NA,PM,CMFLIM10,CMFLIM10 Animal2 AL Day3,0.725344964,0.274655036,0.557499,2.596136,1.102779763,8616.69929,1.062692
5,WT,2,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal2 AL Day5,0.721453179,0.278546822,0.5679555,2.6728645,1.174076869,2585.57405,0.833791
5,WT,2,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal2 AL Day5,0.680107536,0.319892464,0.554693,2.7417975,1.254452684,4610.880798,0.9711895
5,WT,2,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal2 AL Day5,0.786596445,0.213403556,0.5489035,2.7965205,1.019637727,9505.765476,1.226074
5,WT,2,Cranial Hypodermis,Cranial,Hypodermis,CMFLIM10,CMFLIM10 Animal2 AL Day5,0.712206152,0.287793849,0.4927185,2.775339,1.159973991,7365.054457,0.97587
5,WT,2,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal2 AL Day5,0.638426734,0.361573267,0.652149,2.8885765,1.48998384,11802.6622,0.807387
5,WT,2,PM,NA,PM,CMFLIM10,CMFLIM10 Animal2 AL Day5,0.726158104,0.273841896,0.5605645,2.591507,1.1125568,14412.16806,1.083794
7,WT,2,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal2 AL Day7,0.746103522,0.253896478,0.523057,2.8942715,1.117380971,12233.40881,0.9902565
7,WT,2,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal2 AL Day7,0.633185899,0.366814102,0.601586,3.293044,1.588372029,6034.932111,0.95228
7,WT,2,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal2 AL Day7,0.791971204,0.208028797,0.5069,2.842633,0.99127694,6007.438964,1.190412
7,WT,2,Cranial Hypodermis,Cranial,Hypodermis,CMFLIM10,CMFLIM10 Animal2 AL Day7,0.495623297,0.504376704,0.6883125,4.396401,2.566170312,17561.8332,0.7605305
7,WT,2,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal2 AL Day7,0.66212241,0.33787759,0.606242,2.7391175,1.361573053,5327.04101,0.872174
7,WT,2,PM,NA,PM,CMFLIM10,CMFLIM10 Animal2 AL Day7,0.471372116,0.528627884,0.65897,4.240469,2.52195527,17952.68572,1.1035495
9,WT,2,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal2 AL Day9,0.775916911,0.22408309,0.535764,2.7390555,1.032401569,6173.832924,1.1008325
9,WT,2,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal2 AL Day9,0.724319422,0.275680579,0.5360915,2.853453,1.164865042,10598.21558,0.9188375
9,WT,2,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal2 AL Day9,0.786832702,0.213167299,0.535184,2.574179,0.971253475,9962.505457,1.047518
9,WT,2,Cranial Hypodermis,Cranial,Hypodermis,CMFLIM10,CMFLIM10 Animal2 AL Day9,0.706742077,0.293257924,0.54643,2.7942385,1.217849771,8319.360717,0.8877865
9,WT,2,PM,NA,PM,CMFLIM10,CMFLIM10 Animal2 AL Day9,0.735023357,0.264976644,0.550431,2.632423,1.083689793,8837.952191,0.964835
11,WT,3,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal3 AL Day11,0.417166014,0.582833986,0.7852245,4.947741,3.192849135,23515.77047,0.6515215
11,WT,3,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal3 AL Day11,0.425538888,0.574461112,0.7296585,4.639436,2.899737993,33136.34824,0.7684
1,WT,3,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal3 AL Day1,0.756710932,0.243289068,0.563812,2.7872315,1.109114682,5560.632364,0.9141685
1,WT,3,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal3 AL Day1,0.65889354,0.341106461,0.613044,3.150994,1.474862188,11205.46246,1.15237
1,WT,3,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal3 AL Day1,0.761657034,0.238342966,0.5558195,2.6956715,1.059056826,9058.097184,1.3155815
1,WT,3,Cranial Hypodermis,Cranial,Hypodermis,CMFLIM10,CMFLIM10 Animal3 AL Day1,0.631695121,0.368304879,0.636856,3.412028,1.612751032,6962.823105,1.0006415
1,WT,3,PM,NA,PM,CMFLIM10,CMFLIM10 Animal3 AL Day1,0.742067731,0.257932269,0.561523,2.7108405,1.109527894,10881.48719,1.23797
3,WT,3,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal3 AL Day3,0.743562649,0.256437352,0.560625,2.8614975,1.172747195,3148.531732,0.950398
3,WT,3,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal3 AL Day3,0.6827236,0.3172764,0.585599,3.025032,1.361590208,5542.611689,0.7314695
3,WT,3,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal3 AL Day3,0.741803885,0.258196115,0.5690255,2.679141,1.113438214,6592.717439,1.1331195
3,WT,3,Cranial Hypodermis,Cranial,Hypodermis,CMFLIM10,CMFLIM10 Animal3 AL Day3,0.650766401,0.3492336,0.5668815,3.024814,1.42705044,6000.402352,0.9496005
3,WT,3,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal3 AL Day3,0.722456259,0.277543742,0.5216515,2.725954,1.147884131,4951.227214,0.79933
3,WT,3,PM,NA,PM,CMFLIM10,CMFLIM10 Animal3 AL Day3,0.680976444,0.319023557,0.5802585,2.552074,1.204021603,7660.235138,0.7979
5,WT,3,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal3 AL Day5,0.764657091,0.235342909,0.546707,2.574955,1.023671166,14241.81014,1.1111565
5,WT,3,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal3 AL Day5,0.660049504,0.339950496,0.614042,2.7105745,1.32389323,17079.22377,0.9144705
5,WT,3,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal3 AL Day5,0.787974599,0.212025402,0.5215805,2.7072615,0.987374798,9625.2138,0.924072
5,WT,3,Cranial Hypodermis,Cranial,Hypodermis,CMFLIM10,CMFLIM10 Animal3 AL Day5,0.678631455,0.321368545,0.578967,2.973523,1.336044292,9411.662725,0.8790815
5,WT,3,PM,NA,PM,CMFLIM10,CMFLIM10 Animal3 AL Day5,0.682740762,0.317259239,0.600564,2.5258545,1.193539837,12859.84285,1.070594
7,WT,3,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal3 AL Day7,0.67366939,0.32633061,0.696711,3.1935045,1.446495949,2460.316892,0.8731925
7,WT,3,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal3 AL Day7,0.540255035,0.459744966,0.7900765,4.112243,2.200436861,6641.25665,0.8190735
7,WT,3,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal3 AL Day7,0.73501415,0.26498585,0.5863925,3.0082375,1.23187934,2566.794754,0.94523
7,WT,3,Cranial Hypodermis,Cranial,Hypodermis,CMFLIM10,CMFLIM10 Animal3 AL Day7,0.622634328,0.377365673,0.687208,3.446447,1.731791612,4171.079554,0.8673365
7,WT,3,PM,NA,PM,CMFLIM10,CMFLIM10 Animal3 AL Day7,0.681951783,0.318048217,0.618333,3.2380175,1.456023166,3678.227291,1.1321275
9,WT,3,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal3 AL Day9,0.722817036,0.277182964,0.5582745,3.4836485,1.376354007,9162.060144,1.1182075
9,WT,3,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal3 AL Day9,0.478613238,0.521386762,0.6973575,4.179539,2.529410689,4872.667467,0.8006525
9,WT,3,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal3 AL Day9,0.733067637,0.266932364,0.5562165,2.924651,1.176980994,6443.78788,0.990318
9,WT,3,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal3 AL Day9,0.634871268,0.365128733,0.602677,3.5051705,1.670323312,4967.459146,0.685668
9,WT,3,PM,NA,PM,CMFLIM10,CMFLIM10 Animal3 AL Day9,0.575165067,0.424834934,0.5820205,3.7468235,1.922804184,9895.822949,0.9313935
11,WT,4,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal4 AL Day11,0.560906752,0.439093248,0.684762,4.600038,2.404079902,23323.04913,0.9029275
3,WT,4,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal4 AL Day3,0.700292765,0.299707236,0.518927,2.598215,1.143318628,4897.289095,0.8406675
3,WT,4,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal4 AL Day3,0.711022209,0.288977792,0.5619915,3.0718645,1.291353484,8610.913514,0.741181
3,WT,4,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal4 AL Day3,0.773055053,0.226944948,0.550856,2.6574185,1.038425651,7814.807019,0.9405545
3,WT,4,Cranial Hypodermis,Cranial,Hypodermis,CMFLIM10,CMFLIM10 Animal4 AL Day3,0.691025556,0.308974445,0.537068,2.971263,1.290373282,6436.59181,0.78632
3,WT,4,PM,NA,PM,CMFLIM10,CMFLIM10 Animal4 AL Day3,0.728129941,0.271870059,0.5588795,2.5761335,1.116593244,9071.695043,1.0124295
5,WT,4,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal4 AL Day5,0.726364812,0.273635189,0.596361,2.841882,1.217930291,7981.710987,0.8632555
5,WT,4,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal4 AL Day5,0.630855235,0.369144765,0.6030085,2.991516,1.485690358,11674.29318,0.8676025
5,WT,4,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal4 AL Day5,0.788881353,0.211118648,0.5261285,2.786983,1.002583616,3794.735371,0.948339
5,WT,4,Cranial Hypodermis,Cranial,Hypodermis,CMFLIM10,CMFLIM10 Animal4 AL Day5,0.677082647,0.322917354,0.606794,3.220348,1.41577784,3958.505447,0.903412
5,WT,4,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal4 AL Day5,0.688175594,0.311824407,0.5628695,2.9499315,1.284326429,4820.018408,0.7182185
5,WT,4,PM,NA,PM,CMFLIM10,CMFLIM10 Animal4 AL Day5,0.730330406,0.269669595,0.563291,2.6183715,1.14794946,6848.990996,1.067336
7,WT,4,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal4 AL Day7,0.76159195,0.238408051,0.5798535,2.7804905,1.119224062,4597.126262,0.9166985
7,WT,4,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal4 AL Day7,0.771535902,0.228464098,0.4486745,2.497834,0.930014518,10485.47987,1.2134545
7,WT,4,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal4 AL Day7,0.7696946,0.2303054,0.5800215,2.7159165,1.072553957,1900.330718,1.070203
7,WT,4,Cranial Hypodermis,Cranial,Hypodermis,CMFLIM10,CMFLIM10 Animal4 AL Day7,0.717327136,0.282672865,0.498743,2.6140395,1.108844989,1783.40714,1.026034
7,WT,4,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal4 AL Day7,0.699190807,0.300809194,0.5826055,2.798771,1.257258926,5132.400649,0.8894685
7,WT,4,PM,NA,PM,CMFLIM10,CMFLIM10 Animal4 AL Day7,0.709428888,0.290571112,0.548678,2.4371705,1.110085159,2676.567657,0.8933485
9,WT,4,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal4 AL Day9,0.735024042,0.264975958,0.522806,2.546618,1.050906384,7385.749283,1.145865
9,WT,4,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal4 AL Day9,0.752137642,0.247862359,0.6025055,2.641062,1.103574607,13056.05488,0.815442
9,WT,4,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal4 AL Day9,0.701503657,0.298496343,0.54577,2.8856115,1.246417249,5218.143739,0.982068
9,WT,4,PM,NA,PM,CMFLIM10,CMFLIM10 Animal4 AL Day9,0.767961685,0.232038315,0.5328395,2.637856,1.041381727,10289.19968,1.149862
11,WT,5,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal5 AL Day11,0.390034642,0.609965358,0.6324705,4.442741,2.969444012,20305.05972,0.6267465
1,WT,5,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal5 AL Day1,0.742266189,0.257733811,0.6064595,3.0224585,1.214814859,6389.929368,0.94983
1,WT,5,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal5 AL Day1,0.672449213,0.327550787,0.5929505,3.108714,1.417108622,7141.591452,0.8210085
1,WT,5,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal5 AL Day1,0.714235665,0.285764336,0.565629,2.9017085,1.258939888,6228.778193,1.005593
3,WT,5,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal5 AL Day3,0.761316587,0.238683414,0.5398,2.5825105,1.035543073,5861.555523,0.8145475
3,WT,5,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal5 AL Day3,0.722348812,0.277651189,0.5449245,2.897106,1.200674446,8180.998067,0.990154
3,WT,5,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal5 AL Day3,0.751172181,0.24882782,0.566494,2.6937325,1.100834169,7965.286603,1.033661
3,WT,5,Cranial Hypodermis,Cranial,Hypodermis,CMFLIM10,CMFLIM10 Animal5 AL Day3,0.733907983,0.266092017,0.528495,2.842352,1.151577468,9623.956148,0.8178495
3,WT,5,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal5 AL Day3,0.739014272,0.260985728,0.590963,2.7250365,1.146157546,4455.659306,0.9282595
3,WT,5,PM,NA,PM,CMFLIM10,CMFLIM10 Animal5 AL Day3,0.712021752,0.287978248,0.5544705,2.4768275,1.099032575,12807.05435,0.9045915
5,WT,5,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal5 AL Day5,0.674908276,0.325091724,0.5662475,2.753612,1.287628893,9419.892466,0.8616215
5,WT,5,Cranial Hypodermis,Cranial,Hypodermis,CMFLIM10,CMFLIM10 Animal5 AL Day5,0.709759659,0.290240342,0.5650185,3.0442755,1.267805257,8596.520992,0.8798895
5,WT,5,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal5 AL Day5,0.688796952,0.311203048,0.6633155,3.1352255,1.414217959,6801.511509,0.861978
5,WT,5,PM,NA,PM,CMFLIM10,CMFLIM10 Animal5 AL Day5,0.722407803,0.277592198,0.5843735,2.647604,1.159679282,8604.007279,0.988167
7,WT,5,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal5 AL Day7,0.697204424,0.302795576,0.709761,3.411315,1.554600558,7859.276113,0.83086
7,WT,5,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal5 AL Day7,0.748122557,0.251877443,0.568857,2.7466545,1.106661359,3975.541973,1.0918035
7,WT,5,Cranial Hypodermis,Cranial,Hypodermis,CMFLIM10,CMFLIM10 Animal5 AL Day7,0.667700053,0.332299947,0.5681675,2.9177145,1.345758082,5041.333497,0.9526345
